"","name","inDegree1.x","outDegree1.x","TotalDegree.x","betweenness1.x","inCloseness1.x","outCloseness1.x","County","Orgtype","address","lon","lat","inDegree1.y","outDegree1.y","TotalDegree.y","betweenness1.y","inCloseness1.y","outCloseness1.y","inDegreeR","outDegreeR","TotalDegreeR","betweennessR","inClosenessR","outClosenessR","inDegreeM","outDegreeM","TotalDegreeM","betweennessM","inClosenessM","outClosenessM","inDegreeE","outDegreeE","TotalDegreeE","betweennessE","inClosenessE","outClosenessE"
"1","4-H",1,0,1,0,0.00145573484358184,0.00125786163522013,"Montgomery","NGO","Chevy Chase, MD",-77.0788667,38.9692771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A Functional Democracy",1,0,1,0,0.00145823461782866,0.00125786163522013,"Travis","NGO","Austin, TX",-97.7430608,30.267153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abell Hanger Foundation",1,0,1,0,0.00126103204514304,0.00125786163522013,"Midland","NGO","Midland, TX",-102.0779146,31.9973456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ACE Austin",1,0,1,0,0.00126262023913455,0.00125786163522013,"Travis","NGO","Austin, TX",-97.7430608,30.267153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ActionS, Inc. of Brazoria County",1,8,9,1.27056327246276e-05,0.00125944584382872,0.00127064803049555,"Brazoria","NGO","Angleton, TX",-95.4318847,29.16941,1,8,9,1.27056327246276e-05,0.00125944584382872,0.00127064803049555,0,2,2,0,0.00268096514745308,0.00269541778975741,0,2,2,0,0.00198412698412698,0.00199203187250996,0,2,2,0,0.00420168067226891,0.00423728813559322
"6","ActivateSA",1,0,1,0,0.00145649055482385,0.00125786163522013,"Bexar","NGO","San Antonio, TX",-98.4936282,29.4241219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AIDS Outreach Center",1,0,1,0,0.00125944584382872,0.00125786163522013,"Tarrant","NGO","Fort Worth, TX",-97.3307658,32.7554883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Air Alliance Houston",3,0,3,0,0.00146025136921555,0.00125786163522013,"Harris","NGO","Houston, TX",-95.3698028,29.7604267,3,0,3,0,0.00146025136921555,0.00125786163522013,1,0,1,0,0.00270266343122012,0.00268096514745308,1,0,1,0,0.00223282654533348,0.00198412698412698,2,0,2,0,0.00440193164933135,0.00420168067226891
"9","Air Quality Coalition",1,0,1,0,0.00145731124240372,0.00125786163522013,"Travis","NGO","Austin, TX",-97.7430608,30.267153,1,0,1,0,0.00145731124240372,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"10","Alamo Area Council of Governments",0,2,2,0,0.00125786163522013,0.00126103404791929,"Bexar","State Agency","San Antonio, TX",-98.4936282,29.4241219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Alamo Area Texas Master Naturalist",1,0,1,0,0.00125944584382872,0.00125786163522013,"Bexar","NGO","San Antonio, TX",-98.4936282,29.4241219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Alamo Sierra Club",1,0,1,0,0.00145438559535476,0.00125786163522013,"Bexar","NGO","San Antonio, TX",-98.4936282,29.4241219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Albemarle Foundation",1,0,1,0,0.00145842211217727,0.00125786163522013,"Harris","NGO","Pasadena, TX",-95.2091006,29.6910625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Alief Independent School District",1,0,1,0,0.00125944584382872,0.00125786163522013,"Harris","Municipal/County","Houston, TX",-95.3698028,29.7604267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alliance for a Clean Texas",1,0,1,0,0.00145661346541919,0.00125786163522013,"Travis","NGO","Austin, TX",-97.7430608,30.267153,1,0,1,0,0.00145661346541919,0.00125786163522013,1,0,1,0,0.00304468816500246,0.00268096514745308,1,0,1,0,0.0022346716187819,0.00198412698412698,1,0,1,0,0.00438377448532268,0.00420168067226891
"16","Alliance of Water Efficiency",1,0,1,0,0.00145689944641491,0.00125786163522013,"Cook","NGO","Chicago, IL",-87.6297982,41.8781136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Altrusa International",1,0,1,0,0.00126103204514304,0.00125786163522013,"Cook","NGO","Chicago, IL",-87.6297982,41.8781136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Altrusa International of Greenville",1,8,9,9.52922454347073e-06,0.00125944584382872,0.00127064803049555,"Hunt","NGO","Greenville, TX",-96.1108066,33.1384488,1,8,9,9.52922454347073e-06,0.00125944584382872,0.00127064803049555,0,1,1,0,0.00268096514745308,0.00268817204301075,1,0,1,0,0.00198807157057654,0.00198412698412698,0,4,4,0,0.00420168067226891,0.00427350427350427
"19","Amarillo Area Foundation",2,9,11,2.85876736304122e-05,0.00126103404791929,0.00127226463104326,"Potter","NGO","Amarillo, TX",-101.8312969,35.2219971,2,9,11,2.85876736304122e-05,0.00126103404791929,0.00127226463104326,2,4,6,5.79659739732777e-05,0.00269541778975741,0.002710027100271,2,1,3,7.92060386683881e-06,0.00199203187250996,0.00198807157057654,1,4,5,7.15154115711936e-05,0.00421940928270042,0.00427350427350427
