"","name","inDegree1","outDegree1","TotalDegree","betweenness1","inCloseness1","outCloseness1","inDegreeR","outDegreeR","TotalDegreeR","betweennessR","inClosenessR","outClosenessR","inDegreeM","outDegreeM","TotalDegreeM","betweennessM","inClosenessM","outClosenessM","inDegreeE","outDegreeE","TotalDegreeE","betweennessE","inClosenessE","outClosenessE"
"1","ActionS, Inc. of Brazoria County",1,8,9,1.27056327246276e-05,0.00125944584382872,0.00127064803049555,0,2,2,0,0.00268096514745308,0.00269541778975741,0,2,2,0,0.00198412698412698,0.00199203187250996,0,2,2,0,0.00420168067226891,0.00423728813559322
"2","Air Alliance Houston",3,0,3,0,0.00146025136921555,0.00125786163522013,1,0,1,0,0.00270266343122012,0.00268096514745308,1,0,1,0,0.00223282654533348,0.00198412698412698,2,0,2,0,0.00440193164933135,0.00420168067226891
"3","Air Quality Coalition",1,0,1,0,0.00145731124240372,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"4","Alliance for a Clean Texas",1,0,1,0,0.00145661346541919,0.00125786163522013,1,0,1,0,0.00304468816500246,0.00268096514745308,1,0,1,0,0.0022346716187819,0.00198412698412698,1,0,1,0,0.00438377448532268,0.00420168067226891
"5","Altrusa International of Greenville",1,8,9,9.52922454347073e-06,0.00125944584382872,0.00127064803049555,0,1,1,0,0.00268096514745308,0.00268817204301075,1,0,1,0,0.00198807157057654,0.00198412698412698,0,4,4,0,0.00420168067226891,0.00427350427350427
"6","Amarillo Area Foundation",2,9,11,2.85876736304122e-05,0.00126103404791929,0.00127226463104326,2,4,6,5.79659739732777e-05,0.00269541778975741,0.002710027100271,2,1,3,7.92060386683881e-06,0.00199203187250996,0.00198807157057654,1,4,5,7.15154115711936e-05,0.00421940928270042,0.00427350427350427
"7","American Alliance of Museums",2,0,2,0,0.00126421847733323,0.00125786163522013,2,0,2,0,0.00269541778975741,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"8","American Council for an Energy-Efficient Economy",1,0,1,0,0.00145617802785078,0.00125786163522013,1,0,1,0,0.00304376641547412,0.00268096514745308,1,0,1,0,0.00223389750718356,0.00198412698412698,1,0,1,0,0.00438312589003347,0.00420168067226891
"9","American Institute of Architects",2,0,2,0,0.00145733531560303,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"10","American Institute of Certified Planners",1,0,1,0,0.00145731124240372,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"11","American Planning Association, Texas Chapter",1,9,10,0.000956628263891756,0.00145548133537663,0.0012902995152439,1,4,5,2.17372402399791e-05,0.00268817204301075,0.002710027100271,1,4,5,1.18809058002582e-05,0.00198807157057654,0.00200801609606541,0,3,3,0,0.00420168067226891,0.00425531914893617
"12","American Public Gardens Association",1,9,10,0.000652751881227745,0.00125944584382872,0.00258297061138979,0,6,6,0,0.00268096514745308,0.00380088278567925,0,3,3,0,0.00198412698412698,0.00199600798403194,0,1,1,0,0.00420168067226891,0.00421940928270042
"13","American Water Works Association",2,0,2,0,0.00146115427507241,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"14","AmeriCorps",1,0,1,0,0.00125944584382872,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"15","AmeriCorps VISTA grantees",1,0,1,0,0.00125944584382872,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"16","Arbor Day Foundation",1,0,1,0,0.00145496658524473,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00425508994936982,0.00420168067226891
